일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
32206,Mar-23,781,음성품바축제,음성품바축제,2150,문화축제
32207,Mar-23,105,의견문화제,의견문화제,70,문화축제
32208,Mar-23,1065,의령 가례 밭미나리 축제,의령가례밭미나리축제,450,문화축제
32209,Mar-23,494,의왕철도축제,의왕철도축제,390,문화축제
32210,Mar-23,73,의정부음악극축제,의정부음악극축제,490,문화축제
32211,Mar-23,214,의좋은형제축제,의좋은형제축제,110,문화축제
32212,Mar-23,402,이천도자기축제,이천도자기축제,10420,문화축제
32213,Mar-23,407,이천백사산수유꽃축제,이천백사산수유꽃축제,55310,문화축제
32214,Mar-23,401,이천쌀문화축제,이천쌀문화축제,480,문화축제
32215,Mar-23,404,이천인삼축제,이천인삼축제,60,문화축제
32216,Mar-23,869,이호테우축제,이호테우축제,40,문화축제
32217,Mar-23,591,익산서동축제,익산서동축제,590,문화축제
32218,Mar-23,687,인삼골축제,인삼골축제,16,문화축제
32219,Mar-23,872,인제빙어축제,인제빙어축제,590,문화축제
32220,Mar-23,1069,인천개항장문화재야행,인천개항장문화재야행,260,문화축제
32221,Mar-23,109,임실N치즈축제,임실N치즈축제,1940,문화축제
32222,Mar-23,165,입장거봉포도축제,입장거봉포도축제,70,문화축제
32223,Mar-23,528,자라섬 국제재즈페스티벌,자라섬국제재즈페스티벌,60,문화축제
32224,Mar-23,203,자연산 광어.도미 축제,자연산광어도미축제,30,문화축제
32225,Mar-23,192,장고항 실치축제,장고항실치축제,12740,문화축제
32226,Mar-23,793,장미꽃 필(feel)무렵,장미꽃필무렵,25,문화축제
32227,Mar-23,1022,장미축제,장미축제,6980,문화축제
32228,Mar-23,582,장보고수산물축제,장보고수산물축제,90,문화축제
32229,Mar-23,276,장수 한우랑 사과랑 축제,장수한우랑사과랑축제,120,문화축제
32230,Mar-23,208,장승문화축제,장승문화축제,17,문화축제
32231,Mar-23,1146,전국관악경연대회,전국관악경연대회,70,문화축제
32232,Mar-23,595,전국민속 소싸움 달성대회,전국민속소싸움달성대회,25,문화축제
32233,Mar-23,1147,전국합창경연대회,전국합창경연대회,20,문화축제
32234,Mar-23,503,전주국제발효식품엑스포,전주국제발효식품엑스포,60,문화축제
32235,Mar-23,497,전주대사습놀이,전주대사습놀이,1230,문화축제
32236,Mar-23,498,전주세계소리축제,전주세계소리축제,1000,문화축제
32237,Mar-23,502,전주한지문화축제,전주한지문화축제,390,문화축제
32238,Mar-23,53,정서진 해넘이 축제,정서진해넘이축제,12,문화축제
32239,Mar-23,1055,정선아리랑제,정선아리랑제,250,문화축제
32240,Mar-23,708,정월대보름 행사,정월대보름행사,320,문화축제
32241,Mar-23,1138,정월대보름축제,정월대보름축제,160,문화축제
32242,Mar-23,342,정월대보름행사,정월대보름행사,320,문화축제
32243,Mar-23,355,정조대왕 능행차 공동재현,정조대왕능행차공동재현,100,문화축제
32244,Mar-23,851,제 9회 수월봉 트레일,수월봉트레일,40,문화축제
32245,Mar-23,772,제10회 무궁화축제,무궁화축제,460,문화축제
32246,Mar-23,6,제11회 마포나루새우젓축제,마포나루새우젓축제,120,문화축제
32247,Mar-23,1043,제11회 삼락벚꽃축제,삼락벚꽃축제,9660,문화축제
32248,Mar-23,847,제11회 우도소라축제,우도소라축제,980,문화축제
32249,Mar-23,399,제11회 진안고원 수박축제,진안고원수박축제,19,문화축제
32250,Mar-23,269,제12회 지리산산청곶감축제,지리산산청곶감축제,40,문화축제
32251,Mar-23,1,제13회 영동포도축제,영동포도축제,400,문화축제
32252,Mar-23,486,제13회 청도유등제,청도유등제,19,문화축제
32253,Mar-23,507,제14회 부산국제매직페스티벌,부산국제매직페스티벌,70,문화축제
32254,Mar-23,508,제14회 부산국제어린이청소년영화제,부산국제어린이청소년영화제,690,문화축제
32255,Mar-23,1100,제14회 수국꽃 문화축제,수국꽃문화축제,20,문화축제
32256,Mar-23,581,제14회 시흥갯골축제,시흥갯골축제,770,문화축제
32257,Mar-23,580,제14회 전국해양스포츠제전,전국해양스포츠제전,220,문화축제
32258,Mar-23,59,제14회 정읍 구절초꽃축제,정읍구절초꽃축제,17,문화축제
32259,Mar-23,89,제15회 구리 코스모스 축제,구리코스모스축제,230,문화축제
32260,Mar-23,88,제15회 구리한강 유채꽃 축제,구리한강유채꽃축제,1030,문화축제
32261,Mar-23,288,제15회 마곡사신록축제,마곡사신록축제,40,문화축제
32262,Mar-23,512,제15회 부산세계불꽃축제,부산세계불꽃축제,80,문화축제
32263,Mar-23,761,제15회 영등포 여의도 봄꽃축제,영등포여의도봄꽃축제,4520,문화축제
32264,Mar-23,540,제15회 영산포 홍어축제,영산포홍어축제,640,문화축제
32265,Mar-23,783,제15회 영양산나물축제,영양산나물축제,2760,문화축제
32266,Mar-23,397,제15회 진안고원 운장산고로쇠축제,진안고원운장산고로쇠축제,120,문화축제
32267,Mar-23,373,제15회 차성문화제,차성문화제,40,문화축제
32268,Mar-23,34,제15회 파주개성인삼축제,파주개성인삼축제,110,문화축제
32269,Mar-23,91,제16회 구리 코스모스 축제,구리코스모스축제,230,문화축제
32270,Mar-23,90,제16회 구리한강 유채꽃 축제,구리한강유채꽃축제,1030,문화축제
32271,Mar-23,297,제16회 마곡사신록축제,마곡사신록축제,40,문화축제
32272,Mar-23,672,제16회 방선문축제,방선문축제,60,문화축제
32273,Mar-23,220,제16회 영랑문학제,영랑문학제,20,문화축제
32274,Mar-23,642,제16회 추억의 충장축제,추억의충장축제,70,문화축제
32275,Mar-23,598,제17회 고양 연등문화축제,고양연등문화축제,20,문화축제
32276,Mar-23,92,제17회 구리 유채꽃 축제,구리유채꽃축제,1320,문화축제
32277,Mar-23,93,제17회 구리 코스모스 축제,구리코스모스축제,230,문화축제
32278,Mar-23,94,제18회 구리 유채꽃 축제,구리유채꽃축제,1320,문화축제
32279,Mar-23,95,제18회 구리 코스모스 축제,구리코스모스축제,230,문화축제
32280,Mar-23,1044,제18회 사상강변축제,사상강변축제,140,문화축제
32281,Mar-23,219,제18회 전라병영성 축제,전라병영성축제,1180,문화축제
32282,Mar-23,1102,제18회 합천벚꽃마라톤대회,합천벚꽃마라톤대회,3450,문화축제
32283,Mar-23,671,제18회삼양검은모래축제,삼양검은모래축제,18,문화축제
32284,Mar-23,96,제19회 구리 유채꽃 축제,구리유채꽃축제,1320,문화축제
32285,Mar-23,97,제19회 구리 코스모스 축제,구리코스모스축제,230,문화축제
32286,Mar-23,270,제19회 산청한방약초축제,산청한방약초축제,560,문화축제
32287,Mar-23,500,제19회 전주국제영화제,전주국제영화제,39500,문화축제
32288,Mar-23,779,제19회광안리어방축제,광안리어방축제,1820,문화축제
32289,Mar-23,1077,제1회 대청호 벚꽃축제,대청호벚꽃축제,41870,문화축제
32290,Mar-23,541,제1회 천년나주목읍성문화축제,천년나주목읍성문화축제,13,문화축제
32291,Mar-23,79,제1회의성슈퍼푸드마늘축제,의성슈퍼푸드마늘축제,30,문화축제
32292,Mar-23,548,제20회 청양고추.구기자축제,청양고추구기자축제,130,문화축제
32293,Mar-23,1067,제20회 한우산 철쭉제,한우산철쭉제,60,문화축제
32294,Mar-23,44,제21회 고성통일명태축제,고성통일명태축제,30,문화축제
32295,Mar-23,547,제21회 장승문화축제,장승문화축제,17,문화축제
32296,Mar-23,5,제22회 과천축제,과천축제,400,문화축제
32297,Mar-23,1122,제22회 무안연꽃축제,무안연꽃축제,1040,문화축제
32298,Mar-23,1028,제22회 보령머드축제,보령머드축제,7940,문화축제
32299,Mar-23,769,제22회 찰옥수수축제,찰옥수수축제,16,문화축제
32300,Mar-23,371,제23회 단양온달문화축제,단양온달문화축제,50,문화축제
32301,Mar-23,35,제23회 파주장단콩축제,파주장단콩축제,630,문화축제
32302,Mar-23,1104,제23회 황매산철쭉제,황매산철쭉제,1210,문화축제
32303,Mar-23,319,제24회 봉화산 철쭉제,봉화산철쭉제,240,문화축제
32304,Mar-23,511,제24회 부산국제영화제,부산국제영화제,10730,문화축제
32305,Mar-23,509,제24회 부산바다축제,부산바다축제,420,문화축제
32306,Mar-23,222,제25회 남도음식문화큰잔치,남도음식문화큰잔치,130,문화축제
32307,Mar-23,318,제25회 지리산 바래봉 철쭉제,지리산바래봉철쭉제,1490,문화축제
32308,Mar-23,895,제26회 연천구석기축제,연천구석기축제,2880,문화축제
32309,Mar-23,568,제26회 오리문화제,오리문화제,25,문화축제
32310,Mar-23,1101,제27회 영도다리축제,영도다리축제,430,문화축제
32311,Mar-23,1155,제27회 화도진축제,화도진축제,380,문화축제
32312,Mar-23,685,제28회 함안낙화놀이,함안낙화놀이,11060,문화축제
32313,Mar-23,1156,제28회 화도진축제,화도진축제,380,문화축제
32314,Mar-23,1157,제29회 화도진축제,화도진축제,380,문화축제
32315,Mar-23,58,제30회 정읍사문화제,정읍사문화제,20,문화축제
32316,Mar-23,1158,제30회 화도진축제,화도진축제,380,문화축제
32317,Mar-23,316,제31회 지리산 뱀사골 고로쇠 약수제,지리산뱀사골고로쇠약수제,350,문화축제
32318,Mar-23,32,제32회 율곡문화제,율곡문화제,30,문화축제
32319,Mar-23,683,제32회 함안아라문화제,함안아라문화제,90,문화축제
32320,Mar-23,372,제37회 단양소백산철쭉제,단양소백산철쭉제,330,문화축제
32321,Mar-23,846,제37회 제주유채꽃축제,제주유채꽃축제,10080,문화축제
32322,Mar-23,505,제37회 해운대달맞이온천축제,해운대달맞이온천축제,12,문화축제
32323,Mar-23,221,제3회 강진만 춤추는 갈대축제,강진만춤추는갈대축제,16,문화축제
32324,Mar-23,130,제3회 낙동강세계평화 문화대축전,낙동강세계평화문화대축전,110,문화축제
32325,Mar-23,775,제3회 홍천사과축제,홍천사과축제,20,문화축제
32326,Mar-23,218,제46회 강진청자축제,강진청자축제,10220,문화축제
32327,Mar-23,377,제47회 신라문화제,신라문화제,430,문화축제
32328,Mar-23,1066,제47회의병제전,의병제전,390,문화축제
32329,Mar-23,132,제4회 낙동강세계평화 문화대축전,낙동강세계평화문화대축전,110,문화축제
32330,Mar-23,2,제50회 영동난계국악축제,영동난계국악축제,150,문화축제
32331,Mar-23,60,제52회 황토현동학농민혁명기념제,황토현동학농민혁명기념제,60,문화축제
32332,Mar-23,383,제56회 수원화성문화제,수원화성문화제,680,문화축제
32333,Mar-23,233,제58회 3·1민속문화제,31민속문화제,24,문화축제
32334,Mar-23,778,제58회 천령문화제,천령문화제,110,문화축제
32335,Mar-23,422,제5회 강서낙동강 30리 벚꽃축제,강서낙동강30리벚꽃축제,980,문화축제
32336,Mar-23,134,제5회 낙동강세계평화 문화대축전,낙동강세계평화문화대축전,110,문화축제
32337,Mar-23,542,제5회 오산천 두바퀴 축제,오산천두바퀴축제,15,문화축제
32338,Mar-23,282,제63회 백제문화제,백제문화제,2100,문화축제
32339,Mar-23,291,제64회 백제문화제,백제문화제,2100,문화축제
32340,Mar-23,302,제65회 백제문화제,백제문화제,2100,문화축제
32341,Mar-23,858,제6회 국제전기자동차엑스포,국제전기자동차엑스포,840,문화축제
32342,Mar-23,136,제6회 낙동강세계평화 문화대축전,낙동강세계평화문화대축전,110,문화축제
32343,Mar-23,137,제7회 낙동강세계평화문화 대축전,낙동강세계평화문화대축전,110,문화축제
32344,Mar-23,317,제89회 춘향제,춘향제,5740,문화축제
32345,Mar-23,240,제8회 낙동강 구포나루 축제,낙동강구포나루축제,30,문화축제
32346,Mar-23,3,제8회 대한민국와인축제,대한민국와인축제,50,문화축제
32347,Mar-23,897,제8회 북페스티벌,북페스티벌,330,문화축제
32348,Mar-23,77,제8회의성세계연축제,의성세계연축제,20,문화축제
32349,Mar-23,840,제주 라프 별빛축제,제주라프별빛축제,27,문화축제
32350,Mar-23,860,제주국제관광마라톤축제,제주국제관광마라톤축제,210,문화축제
32351,Mar-23,843,제주들불축제,제주들불축제,52830,문화축제
32352,Mar-23,842,제주왕벚꽃축제,제주왕벚꽃축제,9140,문화축제
32353,Mar-23,875,제주유채꽃축제,제주유채꽃축제,10080,문화축제
32354,Mar-23,855,제주푸드앤와인페스티벌,제주푸드앤와인페스티벌,130,문화축제
32355,Mar-23,865,제주해비치아트페스티벌,제주해비치아트페스티벌,460,문화축제
32356,Mar-23,99,제천국제음악영화제,제천국제음악영화제,1700,문화축제
32357,Mar-23,100,제천의병제,제천의병제,30,문화축제
32358,Mar-23,720,조선통신사 축제,조선통신사축제,700,문화축제
32359,Mar-23,411,주안미디어문화축제,주안미디어문화축제,30,문화축제
32360,Mar-23,315,지리산 바래봉 눈꽃축제,지리산바래봉눈꽃축제,15,문화축제
32361,Mar-23,114,진주남강유등축제,진주남강유등축제,2160,문화축제
32362,Mar-23,118,진주논개제,진주논개제,670,문화축제
32430,Mar-23,988,허준축제,허준축제,120,문화축제
32363,Mar-23,655,진해군악의장페스티벌,진해군악의장페스티벌,2500,문화축제
32364,Mar-23,654,진해군항제,진해군항제,951100,문화축제
32365,Mar-23,52,처용문화제,처용문화제,250,문화축제
32366,Mar-23,592,천만송이 국화축제,천만송이국화축제,18,문화축제
32367,Mar-23,168,천안북면위례벚꽃축제,천안북면위례벚꽃축제,120,문화축제
32368,Mar-23,166,천안성환배축제,천안성환배축제,57,문화축제
32369,Mar-23,169,천안춤영화제,천안춤영화제,27,문화축제
32370,Mar-23,167,천안호두축제,천안호두축제,60,문화축제
32371,Mar-23,163,천안흥타령춤축제,천안흥타령춤축제,1000,문화축제
32372,Mar-23,143,청계산철쭉축제,청계산철쭉축제,20,문화축제
32373,Mar-23,679,청룡문화제,청룡문화제,30,문화축제
32374,Mar-23,583,청산도슬로우걷기축제,청산도슬로우걷기축제,50,문화축제
32375,Mar-23,831,청소년어울림마당 1회차,청소년어울림마당,540,문화축제
32376,Mar-23,832,청소년어울림마당 2회차,청소년어울림마당,540,문화축제
32377,Mar-23,224,청송사과축제,청송사과축제,510,문화축제
32378,Mar-23,209,청양고추.구기자축제,청양고추구기자축제,130,문화축제
32379,Mar-23,23,청원생명축제,청원생명축제,590,문화축제
32380,Mar-23,98,청풍호벚꽃축제,청풍호벚꽃축제,7600,문화축제
32381,Mar-23,406,체험문화축제,체험문화축제,14,문화축제
32382,Mar-23,626,추억의충장축제,추억의충장축제,70,문화축제
32383,Mar-23,735,추월산벚꽃축제,추월산벚꽃축제,400,문화축제
32384,Mar-23,670,추자도 참굴비 대축제,추자도참굴비대축제,24,문화축제
32385,Mar-23,1151,춘천국제고음악제,춘천국제고음악제,11,문화축제
32386,Mar-23,1139,춘천마임축제,춘천마임축제,4480,문화축제
32387,Mar-23,1140,춘천연극제,춘천연극제,420,문화축제
32388,Mar-23,1142,춘천인형극제,춘천인형극제,1080,문화축제
32389,Mar-23,116,코리아드라마페스티벌,코리아드라마페스티벌,80,문화축제
32390,Mar-23,1072,크리스마스트리문화축제,크리스마스트리문화축제,10,문화축제
32391,Mar-23,890,태백산눈축제,태백산눈축제,540,문화축제
32392,Mar-23,215,태안국제모래조각 페스티벌,태안국제모래조각페스티벌,10,문화축제
32393,Mar-23,728,태조 이성계 축제,태조이성계축제,19,문화축제
32394,Mar-23,49,태화강 연등축제,태화강연등축제,40,문화축제
32395,Mar-23,48,통영한산대첩축제,통영한산대첩축제,520,문화축제
32396,Mar-23,751,퇴촌토마토축제,퇴촌토마토축제,1410,문화축제
32397,Mar-23,31,파주북소리2019,파주북소리,80,문화축제
32398,Mar-23,460,파주장단콩축제,파주장단콩축제,630,문화축제
32399,Mar-23,1007,팔공산 단풍축제,팔공산단풍축제,17,문화축제
32400,Mar-23,1008,팔공산 벚꽃축제,팔공산벚꽃축제,5880,문화축제
32401,Mar-23,179,팔봉산감자축제,팔봉산감자축제,90,문화축제
32402,Mar-23,1039,평생학습축제,평생학습축제,200,문화축제
32403,Mar-23,1083,평창더위사냥축제,평창더위사냥축제,70,문화축제
32404,Mar-23,1085,평창백일홍축제,평창백일홍축제,130,문화축제
32405,Mar-23,1081,평창송어축제,평창송어축제,1580,문화축제
32406,Mar-23,1084,평창효석문화제,평창효석문화제,130,문화축제
32407,Mar-23,149,포은문화제,포은문화제,60,문화축제
32408,Mar-23,343,포항국제불빛축제,포항국제불빛축제,3570,문화축제
32409,Mar-23,345,포항운하축제,포항운하축제,18,문화축제
32410,Mar-23,344,포항해병대문화축제,포항해병대문화축제,210,문화축제
32411,Mar-23,107,필봉마을굿축제,필봉마을굿축제,18,문화축제
32412,Mar-23,891,한강낙동강발원지축제,한강낙동강발원지축제,16,문화축제
32413,Mar-23,876,한라산청정 고사리축제,한라산청정고사리축제,760,문화축제
32414,Mar-23,853,한라산청정고사리축제,한라산청정고사리축제,760,문화축제
32415,Mar-23,207,한산모시문화제,한산모시문화제,350,문화축제
32416,Mar-23,112,한성백제문화제,한성백제문화제,320,문화축제
32417,Mar-23,193,한진포구 바지락 갯벌체험축제,한진포구바지락갯벌체험축제,60,문화축제
32418,Mar-23,1053,함백산야생화축제,함백산야생화축제,50,문화축제
32419,Mar-23,833,해맞이 행사,해맞이행사,15,문화축제
32420,Mar-23,228,해맞이축제,해맞이축제,190,문화축제
32421,Mar-23,1010,해맞이행사,해맞이행사,15,문화축제
32422,Mar-23,176,해미벚꽃축제,해미벚꽃축제,3230,문화축제
32423,Mar-23,739,해운대 북극곰축제,해운대북극곰축제,40,문화축제
32424,Mar-23,1078,향수옥천 포도복숭아축제,향수옥천포도복숭아축제,20,문화축제
32425,Mar-23,936,향촌동수제화골목 2014년「빨간구두 이야기」,향촌동수제화골목,27,문화축제
32426,Mar-23,941,향촌동수제화골목 2015년「빨간구두 이야기」,향촌동수제화골목,27,문화축제
32427,Mar-23,948,향촌동수제화골목 2016년「빨간구두 이야기」,향촌동수제화골목,27,문화축제
32428,Mar-23,959,향촌동수제화골목 2017년「빨간구두 이야기」,향촌동수제화골목,27,문화축제
32429,Mar-23,972,향촌동수제화골목 2018년「빨간구두 이야기」,향촌동수제화골목,27,문화축제
32431,Mar-23,1107,현인가요제,현인가요제,190,문화축제
32432,Mar-23,699,형형색색달구벌관등놀이,형형색색달구벌관등놀이,240,문화축제
32433,Mar-23,347,호미곶한민족해맞이축전,호미곶한민족해맞이축전,10,문화축제
32434,Mar-23,25,홍길동축제,홍길동축제,80,문화축제
32435,Mar-23,588,홍성남당항 대하축제,홍성남당항대하축제,20,문화축제
32436,Mar-23,590,홍성남당항 새조개축제,홍성남당항새조개축제,10150,문화축제
32437,Mar-23,211,홍성남당항대하축제,홍성남당항대하축제,20,문화축제
32438,Mar-23,212,홍성남당항새조개축제,홍성남당항새조개축제,10150,문화축제
32439,Mar-23,210,홍성역사인물축제,홍성역사인물축제,270,문화축제
32440,Mar-23,461,화성뱃놀이축제,화성뱃놀이축제,950,문화축제
32441,Mar-23,790,화순 국화향연,화순국화향연,300,문화축제
32442,Mar-23,789,화순고인돌문화축제,화순고인돌문화축제,17,문화축제
32443,Mar-23,787,화순운주문화축제,화순운주문화축제,28,문화축제
32444,Mar-23,870,황태축제,황태축제,19,문화축제
32445,Mar-23,1045,횡성한우축제,횡성한우축제,1880,문화축제
32446,Mar-23,585,효문화뿌리축제,효문화뿌리축제,15,문화축제
32447,Mar-23,155,흑산도홍어축제,흑산도홍어축제,47,문화축제
32448,Mar-23,467,흑석산 철쭉제,흑석산철쭉제,80,문화축제
32449,Mar-23,320,흥부제,흥부제,80,문화축제
