일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
31921,Mar-23,910,「제34회 대구약령시 한방문화축제」,대구약령시한방문화축제,190,문화축제
31922,Mar-23,917,「제35회 대구약령시 한방문화축제」,대구약령시한방문화축제,190,문화축제
31923,Mar-23,924,「제36회 대구약령시 한방문화축제」,대구약령시한방문화축제,190,문화축제
31924,Mar-23,931,「제37회 대구약령시 한방문화축제」,대구약령시한방문화축제,190,문화축제
31925,Mar-23,235,가야문화축제,가야문화축제,3810,문화축제
31926,Mar-23,845,가파도청보리축제,가파도청보리축제,15750,문화축제
31927,Mar-23,154,간재미 축제,간재미축제,59,문화축제
31928,Mar-23,86,감물감자축제,감물감자축제,12,문화축제
31929,Mar-23,366,감천문화마을 골목축제,감천문화마을골목축제,50,문화축제
31930,Mar-23,299,갑사황매화 축제,갑사황매화축제,230,문화축제
31931,Mar-23,111,강감찬축제,강감찬축제,90,문화축제
31932,Mar-23,187,강경젓갈축제,강경젓갈축제,740,문화축제
31933,Mar-23,586,강동선사문화축제,강동선사문화축제,170,문화축제
31934,Mar-23,763,강릉단오제,강릉단오제,6650,문화축제
31935,Mar-23,764,강릉커피축제,강릉커피축제,1200,문화축제
31936,Mar-23,527,개암동벚꽃축제,개암동벚꽃축제,430,문화축제
31937,Mar-23,115,개천예술제,개천예술제,360,문화축제
31938,Mar-23,989,개화산 봄꽃축제,개화산봄꽃축제,100,문화축제
31939,Mar-23,436,거제 섬꽃축제,거제섬꽃축제,250,문화축제
31940,Mar-23,430,거제 옥포대첩 축제,거제옥포대첩축제,70,문화축제
31941,Mar-23,434,거제맥주축제,거제맥주축제,25,문화축제
31942,Mar-23,429,거제맹종대나무축제,거제맹종대나무축제,19,문화축제
31943,Mar-23,614,거창한마당대축제,거창한마당대축제,70,문화축제
31944,Mar-23,101,겨울왕국 제천페스티벌,겨울왕국제천페스티벌,15,문화축제
31945,Mar-23,767,경산갓바위소원성취축제,경산갓바위소원성취축제,50,문화축제
31946,Mar-23,766,경산자인단오제,경산자인단오제,390,문화축제
31947,Mar-23,760,계룡군문화축제,계룡군문화축제,190,문화축제
31948,Mar-23,171,계룡산벚꽃축제,계룡산벚꽃축제,5780,문화축제
31949,Mar-23,280,계룡산산신제,계룡산산신제,100,문화축제
31950,Mar-23,103,계양산국악제,계양산국악제,720,문화축제
31951,Mar-23,753,고려산진달래축제,고려산진달래축제,48740,문화축제
31952,Mar-23,27,고로쇠축제,고로쇠축제,4430,문화축제
31953,Mar-23,714,고모령 효예술제,고모령효예술제,11,문화축제
31954,Mar-23,1105,고스트파크,고스트파크,290,문화축제
31955,Mar-23,374,고싸움놀이축제,고싸움놀이축제,10,문화축제
31956,Mar-23,616,고싸움놀이축제(1차),고싸움놀이축제,10,문화축제
31957,Mar-23,617,고싸움놀이축제(2차),고싸움놀이축제,10,문화축제
31959,Mar-23,322,고창모양성제,고창모양성제,160,문화축제
31960,Mar-23,325,고창복분자와수박축제,고창복분자와수박축제,50,문화축제
31961,Mar-23,323,고창청보리밭축제,고창청보리밭축제,11010,문화축제
31962,Mar-23,328,고창해풍고추축제,고창해풍고추축제,30,문화축제
31963,Mar-23,490,고흥 우주항공 축제,고흥우주항공축제,6410,문화축제
31964,Mar-23,1087,곡성세계장미축제,곡성세계장미축제,1370,문화축제
31965,Mar-23,1088,곡성심청축제,곡성심청축제,40,문화축제
31966,Mar-23,526,곰소젓갈발효축제,곰소젓갈발효축제,30,문화축제
31967,Mar-23,1031,곰취축제,곰취축제,190,문화축제
31968,Mar-23,279,공주 석장리 구석기축제,공주석장리구석기축제,80,문화축제
31969,Mar-23,170,공주 석장리 세계구석기축제,공주석장리세계구석기축제,260,문화축제
31970,Mar-23,721,광복로연등문화제,광복로연등문화제,14,문화축제
31971,Mar-23,1124,광양매화축제,광양매화축제,673600,문화축제
31972,Mar-23,1127,광양숯불구이축제,광양숯불구이축제,250,문화축제
